,Source Port,Destination Port,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Bytes per Packet,SYN Ratio,RST Ratio,FIN Ratio,Duration Log
Bot,8.90563472337021e-70,0.0,4.4541771909305126e-294,0.014857200054954759,0.07706041926705716,1.460505610454805e-25,5.237522746561464e-40,2.7107163148756924e-41,1.3197279789825113e-29,4.854082587977386e-129,2.402156598371542e-34,1.5103160208208776e-05,3.6399392994863535e-16,4.5190611157291126e-33,3.1786084516208193e-96,7.173613073605397e-07,0.16452984858517092,1.919513020894404e-08,1.1416588565440885e-08,0.0035334297011986016,0.14806225368955295,3.077475236275722e-62,0.016663678367714582,0.0010235887983436533,5.81188894447924e-35,0.0011110337258051072,6.6188235120903964e-12,7.43680678262283e-19,4.01618501697898e-26,4.786585329204161e-77,5.307572282688123e-22,4.5941596491660276e-69,1.2294190199377915e-24,,,,0.2294694023996027,0.09027969075485376,7.374835143771863e-07,8.546787681275461e-58,4.3763052472116655e-121,1.0773375107814356e-23,4.19038874213379e-143,4.080990950052588e-29,4.079725315654616e-29,1.8734529307682468e-10,1.2294190199377915e-24,,2.844933426132353e-133,4.801747494416787e-10,1.1520194532093182e-71,,,0.21444333389850181,5.700908443031039e-148,2.402156357246832e-34,3.178601321522142e-96,0.2294694023996027,,,,,,,0.07706041926705716,5.237522746561464e-40,1.460505610454805e-25,2.7107163148756924e-41,6.942706226032155e-145,3.127412716095279e-169,1.559596304603406e-26,7.120054067114605e-112,1.3066277926616216e-74,1.4525802031088476e-44,1.2654763495918899e-74,1.5793519913744518e-74,8.375634611764948e-75,4.813990489088926e-46,7.818338757537345e-75,8.578487140887652e-75,1.1252019911276958e-133,1.2294190199377915e-24,,1.8739745221901307e-10,0.014857200054954759
DDoS,0.0,6.682773845609803e-57,0.0,0.0,0.0,1.9693349852461394e-279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0003459750899238271,,0.0,5.556302351196876e-177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.966131776851484e-10,0.0,0.0,0.0,0.0003459750899238271,2.966131776851484e-10,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,1.9693349852461394e-279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.327383741852758e-15,0.0,0.0,0.0,0.0,2.966131776851484e-10,0.0,0.0
DoS GoldenEye,1.8446869440150713e-219,8.419429451266283e-05,0.0,0.0,0.0,6.083281974853983e-171,3.5080801804021095e-239,0.0,0.0,0.0,3.783062300081664e-181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4963000688583867e-156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.610045572165689e-126,,0.31732226300213295,,0.0,2.789439533359964e-234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.412493011715856e-44,6.610045572165689e-126,0.08324953533628258,0.0,0.7226838929938441,4.04016141596753e-229,0.31732226300213295,0.08324953533628258,0.0,0.0,3.7781755966599145e-181,0.0,0.0,,,,,,,0.0,3.5080801804021095e-239,6.083281974853983e-171,0.0,0.0,5.857665850543356e-277,2.668189703317333e-38,0.0,0.0,1.0089278672441727e-181,0.0,0.0,0.0,1.2939075921307593e-175,0.0,0.0,0.0,6.612577264319739e-126,0.08324953533628258,8.423757406913849e-44,0.0
DoS Hulk,5.180682856133085e-176,4.99843012695664e-88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4156330904388576e-34,0.0,0.0,0.0,0.0,0.0,0.0,,1.6084896038259418e-06,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9880787827662817e-17,0.0,0.0,0.0,1.6084896038259418e-06,2.9880787827662817e-17,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.148590904747607e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9880787827662817e-17,0.0,0.0
DoS Slowhttptest,1.7875909582362511e-186,2.02345932988687e-05,0.0,0.0,1.697286320897969e-305,0.0,3.5960211527063585e-106,0.0,1.1771990817361858e-89,0.0,5.334042909035041e-59,0.016609195154455525,0.0,0.0,0.0,1.93585808720714e-86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8437429521207634e-79,8.419006941182964e-63,2.4191521396302642e-09,1.4939905797894926e-60,8.04466955312831e-75,3.934937556234924e-69,,0.3173325127031382,,0.0,1.255813862023304e-260,0.0,0.0,0.0,5.480820080984452e-72,2.3977728346018282e-138,1.5849273353554956e-68,1.5872346497036697e-68,1.2881736227198534e-23,3.934937556234924e-69,0.0832364711284879,0.0,1.3483594222585768e-12,0.44528874994253553,0.3173325127031382,0.0832364711284879,0.0,1.2341831491991268e-151,5.334313020875713e-59,0.0,0.0,,,,,,,1.697286320897969e-305,3.5960211527063585e-106,0.0,0.0,0.0,0.0640058233649369,1.020290930846248e-206,0.0,0.0,1.3885748948132431e-21,0.0,0.0,0.0,0.0,0.0,0.0,1.3689919438003828e-135,4.309839275784849e-69,0.0832364711284879,1.2889361973741448e-23,0.0
DoS slowloris,6.563511800073395e-133,2.0562243521899874e-05,0.0,0.0,3.8263652427365156e-196,8.779089829095313e-12,2.4339635939121104e-14,0.0,3.961025610360636e-42,0.0,1.6934242579386364e-08,1.8365391223495233e-27,0.0,0.0,0.0,0.397709655825934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.257624682454673e-125,3.5495588159285535e-183,3.8329636157472514e-91,3.019491788422237e-183,7.160384662958123e-196,8.730926925490071e-294,,0.3173313849556716,,0.0,0.29216548155892896,0.0,0.0,0.0,4.651705776551105e-58,6.1265808064065735e-121,1.5575900945157284e-23,1.5579696026563268e-23,9.997763008107469e-25,8.730926925490071e-294,0.08323790861642189,0.0,9.466531884123873e-06,9.346533848730723e-81,0.3173313849556716,0.08323790861642189,0.0,1.1467701235100442e-139,1.6936995253881255e-08,0.0,0.0,,,,,,,3.8263652427365156e-196,2.4339635939121104e-14,8.779089829095313e-12,0.0,0.0,1.5129101284715507e-63,0.0941011658385147,0.0,0.0,8.032229728173629e-240,0.0,6.5098889535671805e-251,0.0,1.1641976245035385e-244,0.0,0.0,9.017440327437786e-132,1.1970633746903423e-293,0.08323790861642189,1.0003974574474872e-24,0.0
FTP-Patator,3.224483265834823e-237,0.0,0.0,4.415080644142348e-21,2.003633189027657e-290,7.342943243828073e-53,0.0003793068779036914,3.8435462380897314e-207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0548381881570435e-85,9.835549918906583e-06,4.874327133180843e-07,8.119162369562555e-06,4.5699341671560536e-46,0.48239991100993407,1.344482465565489e-19,0.0,0.0,7.550904772750245e-99,0.0,0.0,4.944790773116616e-22,1.313298606850803e-17,3.0977528738019788e-245,3.1707560061142047e-16,6.3479594738740735e-102,0.0,,0.31732575083341197,,0.0,3.0294497581022814e-32,1.0238817404706339e-10,4.391068077839839e-75,0.0,0.0,0.0,1.0603718217331139e-293,1.0585265909532594e-293,4.696531082047024e-34,0.0,0.08324508992261664,3.1328686066786694e-231,4.054473315002087e-164,6.303285787181672e-212,0.31732575083341197,0.08324508992261664,3.2680527406036404e-77,0.0,0.0,0.0,0.0,,,,,,,2.003633189027657e-290,0.0003793068779036914,7.342943243828073e-53,3.8435462380897314e-207,0.0,9.484516944228103e-155,3.47000261003039e-08,0.0,0.0,1.1361880434816233e-175,0.0,0.0,0.0,5.927934531378215e-181,0.0,0.0,0.0,0.0,0.08324508992261664,4.701309772271979e-34,4.415080644142348e-21
Heartbleed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infiltration,0.8572151637249236,0.008049866914120277,1.322549341079948e-06,2.2498617187304282e-12,4.5427446017227666e-15,9.398273844577638e-10,4.301855433831447e-12,0.011751194768960907,1.6483308994503984e-11,0.5678879259126304,4.24895287383234e-10,3.23124282401465e-13,0.15643452301608562,0.6009909722105224,0.02297580565922975,0.24937291508177403,0.5920093713857899,8.868478887666964e-06,5.1251863798833075e-05,2.533536081711178e-08,1.7608577064858742e-10,0.060644982473367776,6.683290528462701e-14,1.5407549654454326e-08,2.6498880712915604e-11,3.056160015348339e-12,3.752055427913649e-05,4.675238180803404e-09,2.6307700105202087e-05,9.176518180005616e-11,8.87783253625395e-08,0.0005967303187962963,8.999693087577716e-08,,,,7.782017475694171e-13,1.269269976086104e-08,9.453741352507572e-06,9.150352349368451e-05,0.5678879259126304,1.2380938830248456e-06,3.7638900035646565e-05,6.378565239042609e-06,6.378565239042609e-06,,8.999693087577716e-08,,0.5579761776163386,5.4758565278369405e-06,0.012195694349969841,,,0.24852893015895228,0.00017114961051554545,4.24895287383234e-10,0.02297580565922975,7.782017475694171e-13,,,,,,,4.5427446017227666e-15,4.301855433831447e-12,9.398273844577638e-10,0.011751194768960907,0.0010265723560512893,1.9028504466324954e-06,1.994024450540611e-14,2.2954896306253968e-07,1.5417349368301504e-10,6.504162346263517e-06,7.654650130802548e-10,3.706937543001522e-10,1.5948714513892647e-08,4.08634867999682e-05,1.5811389157880873e-08,1.4418967810816342e-08,6.658535723234413e-05,8.999693087577716e-08,,,2.2498617187304282e-12
PortScan,1.6797612996044966e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0000359000730158e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.699259008046089e-05,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220931492409563e-12,0.0,0.0,0.0,6.699259008046089e-05,2.220931492409563e-12,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220931492409563e-12,0.0,0.0
