Total Fwd Packets,Total Backward Packets,Label
2.0,2.0,BENIGN
1.0,3.0,BENIGN
2.0,1.0,BENIGN
1.0,1.0,BENIGN
2.0,2.0,BENIGN
5.0,1.0,BENIGN
2.0,2.0,BENIGN
2.0,0.0,BENIGN
1.0,1.0,BENIGN
36.0,48.0,BENIGN
1.0,1.0,BENIGN
2.0,2.0,BENIGN
2.0,2.0,BENIGN
2.0,2.0,BENIGN
15.0,12.0,BENIGN
1.0,1.0,BENIGN
2.0,0.0,BENIGN
1.0,1.0,BENIGN
8.0,5.0,BENIGN
10.0,8.0,BENIGN
1.0,1.0,BENIGN
3.0,0.0,BENIGN
35.0,40.0,BENIGN
2.0,0.0,BENIGN
5.0,0.0,BENIGN
1.0,1.0,BENIGN
2.0,2.0,BENIGN
2.0,2.0,BENIGN
1.0,1.0,BENIGN
1.0,1.0,BENIGN
2.0,2.0,BENIGN
1.0,1.0,BENIGN
1.0,1.0,BENIGN
2.0,2.0,BENIGN
2.0,0.0,BENIGN
10.0,5.0,BENIGN
16.0,15.0,BENIGN
5.0,1.0,BENIGN
2.0,2.0,BENIGN
1.0,1.0,BENIGN
1.0,4.0,BENIGN
5.0,1.0,BENIGN
2.0,2.0,BENIGN
2.0,2.0,BENIGN
14.0,13.0,BENIGN
2.0,2.0,BENIGN
16.0,19.0,BENIGN
2.0,0.0,BENIGN
1.0,1.0,BENIGN
2.0,0.0,BENIGN
27.0,30.0,BENIGN
2.0,2.0,BENIGN
2.0,2.0,BENIGN
3.0,3.0,BENIGN
68.0,86.0,BENIGN
5.0,2.0,BENIGN
2.0,2.0,BENIGN
2.0,2.0,BENIGN
4.0,4.0,BENIGN
3.0,0.0,BENIGN
2.0,2.0,BENIGN
3.0,1.0,BENIGN
3.0,1.0,BENIGN
2.0,2.0,BENIGN
2.0,2.0,BENIGN
2.0,0.0,BENIGN
2.0,0.0,BENIGN
4.0,1.0,BENIGN
5.0,1.0,BENIGN
2.0,2.0,BENIGN
2.0,2.0,BENIGN
2.0,2.0,BENIGN
1.0,1.0,BENIGN
2.0,0.0,BENIGN
2.0,2.0,BENIGN
1.0,1.0,BENIGN
3.0,4.0,BENIGN
4.0,2.0,BENIGN
2.0,2.0,BENIGN
3.0,4.0,BENIGN
3.0,1.0,BENIGN
2.0,0.0,BENIGN
19.0,22.0,BENIGN
3.0,1.0,BENIGN
2.0,2.0,BENIGN
1.0,1.0,BENIGN
2.0,2.0,BENIGN
3.0,3.0,BENIGN
2.0,2.0,BENIGN
2.0,2.0,BENIGN
2.0,3.0,BENIGN
13.0,13.0,BENIGN
2.0,2.0,BENIGN
1.0,1.0,BENIGN
2.0,2.0,BENIGN
6.0,9.0,BENIGN
1.0,1.0,BENIGN
1.0,1.0,BENIGN
2.0,2.0,BENIGN
3.0,1.0,BENIGN
1.0,1.0,BENIGN
21.0,21.0,BENIGN
16.0,21.0,BENIGN
2.0,1.0,BENIGN
7.0,7.0,BENIGN
4.0,2.0,BENIGN
1.0,1.0,BENIGN
10.0,8.0,BENIGN
1.0,1.0,BENIGN
1.0,1.0,BENIGN
1.0,1.0,BENIGN
6.0,6.0,BENIGN
2.0,0.0,BENIGN
2.0,2.0,BENIGN
1.0,4.0,BENIGN
5.0,1.0,BENIGN
3.0,1.0,BENIGN
16.0,16.0,BENIGN
1.0,2.0,BENIGN
2.0,2.0,BENIGN
4.0,1.0,BENIGN
16.0,22.0,BENIGN
3.0,1.0,BENIGN
1.0,1.0,BENIGN
2.0,0.0,BENIGN
2.0,2.0,BENIGN
4.0,2.0,BENIGN
2.0,2.0,BENIGN
1.0,1.0,BENIGN
2.0,2.0,BENIGN
7.0,5.0,BENIGN
5.0,1.0,BENIGN
2.0,2.0,BENIGN
1.0,3.0,BENIGN
9.0,5.0,BENIGN
1.0,1.0,BENIGN
3.0,1.0,BENIGN
2.0,0.0,BENIGN
17.0,12.0,BENIGN
2.0,0.0,BENIGN
2.0,0.0,BENIGN
