Total Length of Fwd Packets,Total Length of Bwd Packets,Label
88.0,144.0,BENIGN
0.0,18.0,BENIGN
12.0,6.0,BENIGN
48.0,150.0,BENIGN
80.0,274.0,BENIGN
123.0,46.0,BENIGN
82.0,210.0,BENIGN
0.0,0.0,BENIGN
48.0,48.0,BENIGN
9821.0,2308.0,BENIGN
6.0,6.0,BENIGN
82.0,204.0,BENIGN
92.0,274.0,BENIGN
76.0,283.0,BENIGN
1378.0,3984.0,BENIGN
40.0,116.0,BENIGN
12.0,0.0,BENIGN
6.0,6.0,BENIGN
390.0,3716.0,BENIGN
353.0,5975.0,BENIGN
56.0,116.0,BENIGN
18.0,0.0,BENIGN
2686.0,6718.0,BENIGN
4.0,0.0,BENIGN
666.0,0.0,BENIGN
0.0,0.0,BENIGN
82.0,204.0,BENIGN
76.0,202.0,BENIGN
0.0,0.0,BENIGN
6.0,6.0,BENIGN
88.0,200.0,BENIGN
39.0,71.0,BENIGN
0.0,0.0,BENIGN
60.0,344.0,BENIGN
37.0,0.0,BENIGN
704.0,1327.0,BENIGN
518.0,2508.0,BENIGN
117.0,41.0,BENIGN
88.0,208.0,BENIGN
0.0,0.0,BENIGN
0.0,12.0,BENIGN
123.0,46.0,BENIGN
68.0,100.0,BENIGN
82.0,366.0,BENIGN
710.0,4443.0,BENIGN
74.0,154.0,BENIGN
1494.0,5020.0,BENIGN
12.0,0.0,BENIGN
45.0,75.0,BENIGN
12.0,0.0,BENIGN
2223.0,28952.0,BENIGN
64.0,96.0,BENIGN
90.0,122.0,BENIGN
144.0,273.0,BENIGN
1356.0,151655.0,BENIGN
123.0,46.0,BENIGN
84.0,414.0,BENIGN
12.0,4.0,BENIGN
168.0,408.0,BENIGN
201.0,0.0,BENIGN
107.0,231.0,BENIGN
0.0,0.0,BENIGN
12.0,0.0,BENIGN
72.0,328.0,BENIGN
74.0,230.0,BENIGN
12.0,0.0,BENIGN
12.0,0.0,BENIGN
416.0,6.0,BENIGN
135.0,46.0,BENIGN
88.0,194.0,BENIGN
64.0,224.0,BENIGN
66.0,156.0,BENIGN
45.0,99.0,BENIGN
0.0,0.0,BENIGN
72.0,104.0,BENIGN
0.0,0.0,BENIGN
438.0,859.0,BENIGN
24.0,0.0,BENIGN
78.0,160.0,BENIGN
581.0,911.0,BENIGN
12.0,0.0,BENIGN
0.0,0.0,BENIGN
779.0,25150.0,BENIGN
12.0,0.0,BENIGN
94.0,126.0,BENIGN
51.0,67.0,BENIGN
74.0,154.0,BENIGN
6.0,6.0,BENIGN
84.0,414.0,BENIGN
84.0,228.0,BENIGN
0.0,0.0,BENIGN
580.0,4660.0,BENIGN
64.0,196.0,BENIGN
71.0,168.0,BENIGN
78.0,134.0,BENIGN
12982.0,56.0,BENIGN
0.0,0.0,BENIGN
41.0,133.0,BENIGN
102.0,158.0,BENIGN
12.0,0.0,BENIGN
6.0,6.0,BENIGN
448.0,15003.0,BENIGN
701.0,30751.0,BENIGN
280.0,6.0,BENIGN
585.0,2852.0,BENIGN
200.0,434.0,BENIGN
56.0,164.0,BENIGN
879.0,323.0,BENIGN
0.0,0.0,BENIGN
85.0,167.0,BENIGN
85.0,144.0,BENIGN
408.0,372.0,BENIGN
0.0,0.0,BENIGN
102.0,356.0,BENIGN
6.0,24.0,BENIGN
135.0,46.0,BENIGN
12.0,0.0,BENIGN
817.0,13839.0,BENIGN
0.0,0.0,BENIGN
88.0,188.0,BENIGN
0.0,0.0,BENIGN
1090.0,57507.0,BENIGN
50.0,6.0,BENIGN
50.0,108.0,BENIGN
37.0,0.0,BENIGN
58.0,168.0,BENIGN
176.0,286.0,BENIGN
68.0,236.0,BENIGN
55.0,136.0,BENIGN
90.0,230.0,BENIGN
376.0,3508.0,BENIGN
117.0,41.0,BENIGN
88.0,120.0,BENIGN
0.0,86.0,BENIGN
405.0,3205.0,BENIGN
6.0,6.0,BENIGN
12.0,0.0,BENIGN
12.0,0.0,BENIGN
1777.0,8717.0,BENIGN
62.0,0.0,BENIGN
12.0,0.0,BENIGN
90.0,212.0,BENIGN
1589.0,1086.0,BENIGN
0.0,0.0,BENIGN
120.0,264.0,BENIGN
1368.0,3984.0,BENIGN
196.0,416.0,BENIGN
68.0,242.0,BENIGN
76.0,108.0,BENIGN
4.0,12.0,BENIGN
46.0,46.0,BENIGN
37.0,0.0,BENIGN
