Average Packet Size,Label
35.83333333,BENIGN
131.5,BENIGN
47.5,BENIGN
88.5,BENIGN
48.0,BENIGN
9.0,BENIGN
54.25,BENIGN
37.0,BENIGN
320.3076923,BENIGN
55.5,BENIGN
70.75,BENIGN
340.65,BENIGN
0.0,BENIGN
0.0,BENIGN
114.0,BENIGN
100.75,BENIGN
0.0,BENIGN
9.0,BENIGN
3.0,BENIGN
251.7777778,BENIGN
0.0,BENIGN
359.0526316,BENIGN
105.25,BENIGN
0.0,BENIGN
9.0,BENIGN
63.0,BENIGN
423.6,BENIGN
54.0,BENIGN
9.0,BENIGN
110.25,BENIGN
151.0,BENIGN
9.0,BENIGN
9.0,BENIGN
0.0,BENIGN
0.0,BENIGN
255.2173913,BENIGN
108.3333333,BENIGN
339.0,BENIGN
16.33333333,BENIGN
0.0,BENIGN
89.5,BENIGN
0.0,BENIGN
107.0,BENIGN
101.0,BENIGN
3.0,BENIGN
4.5,BENIGN
0.0,BENIGN
254.353591160221,BENIGN
3.0,BENIGN
100.0,BENIGN
12.33333333,BENIGN
3.0,BENIGN
150.75,BENIGN
66.0,BENIGN
137.6666667,BENIGN
67.25,BENIGN
55.5,BENIGN
179.25,BENIGN
3.0,BENIGN
541.8636364,BENIGN
9.0,BENIGN
144.25,BENIGN
55.25,BENIGN
58.0,BENIGN
86.25,BENIGN
59.25,BENIGN
105.8571429,BENIGN
93.0,BENIGN
212.5416667,BENIGN
0.0,BENIGN
75.0,BENIGN
73.83333333,BENIGN
77.0,BENIGN
278.625,BENIGN
194.25,BENIGN
157.25,BENIGN
76.5,BENIGN
281.0952381,BENIGN
73.25,BENIGN
184.0,BENIGN
154.0,BENIGN
140.4285714,BENIGN
513.68,BENIGN
6.0,BENIGN
617.0,BENIGN
3.6,BENIGN
3.0,BENIGN
83.0,BENIGN
108.0,BENIGN
103.4285714,BENIGN
9.0,BENIGN
4.5,BENIGN
0.0,BENIGN
134.5,BENIGN
55.5,BENIGN
197.5,BENIGN
0.0,BENIGN
4.5,BENIGN
122.25,BENIGN
169.0,BENIGN
154.0,BENIGN
34.0,BENIGN
260.30263157894734,BENIGN
63.5,BENIGN
0.0,BENIGN
138.5,BENIGN
0.0,BENIGN
232.4736842,BENIGN
140.0,BENIGN
112.0,BENIGN
4.5,BENIGN
371.75,BENIGN
134.5,BENIGN
121.5,BENIGN
