Fwd Packet Length Max,Label
6.0,BENIGN
377.0,BENIGN
193.0,BENIGN
389.0,BENIGN
6.0,BENIGN
6.0,BENIGN
0.0,BENIGN
0.0,BENIGN
212.0,BENIGN
0.0,BENIGN
37.0,BENIGN
172.0,BENIGN
335.0,BENIGN
1116.0,BENIGN
373.0,BENIGN
238.0,BENIGN
46.0,BENIGN
6.0,BENIGN
389.0,BENIGN
6.0,BENIGN
6.0,BENIGN
0.0,BENIGN
6.0,BENIGN
196.0,BENIGN
179.0,BENIGN
320.0,BENIGN
0.0,BENIGN
6.0,BENIGN
434.0,BENIGN
488.0,BENIGN
369.0,BENIGN
46.0,BENIGN
0.0,BENIGN
405.0,BENIGN
517.0,BENIGN
31.0,BENIGN
511.0,BENIGN
6.0,BENIGN
1033.0,BENIGN
0.0,BENIGN
389.0,BENIGN
194.0,BENIGN
337.0,BENIGN
1284.0,BENIGN
6.0,BENIGN
1584.0,BENIGN
453.0,BENIGN
0.0,BENIGN
190.0,BENIGN
396.0,BENIGN
0.0,BENIGN
886.0,BENIGN
0.0,BENIGN
6.0,BENIGN
432.0,BENIGN
0.0,BENIGN
1965.0,BENIGN
53.0,BENIGN
208.0,BENIGN
305.0,BENIGN
436.0,BENIGN
523.0,BENIGN
417.0,BENIGN
241.0,BENIGN
455.0,BENIGN
46.0,BENIGN
748.0,BENIGN
197.0,BENIGN
6.0,BENIGN
6.0,BENIGN
0.0,BENIGN
219.0,BENIGN
3982.0,BENIGN
721.0,BENIGN
0.0,BENIGN
430.0,BENIGN
0.0,BENIGN
389.0,BENIGN
589.0,BENIGN
559.0,BENIGN
6.0,BENIGN
432.0,BENIGN
885.0,BENIGN
425.0,BENIGN
405.0,BENIGN
206.0,BENIGN
318.0,BENIGN
421.0,BENIGN
6.0,BENIGN
0.0,BENIGN
430.0,BENIGN
1368.0,BENIGN
31.0,BENIGN
6.0,BENIGN
6.0,BENIGN
187.0,BENIGN
378.0,BENIGN
6.0,BENIGN
360.0,BENIGN
357.0,BENIGN
190.0,BENIGN
6.0,BENIGN
517.0,BENIGN
0.0,BENIGN
6.0,BENIGN
361.0,BENIGN
206.0,BENIGN
0.0,BENIGN
184.0,BENIGN
436.0,BENIGN
606.0,BENIGN
1677.0,BENIGN
46.0,BENIGN
6.0,BENIGN
421.0,BENIGN
517.0,BENIGN
6.0,BENIGN
437.0,BENIGN
31.0,BENIGN
597.0,BENIGN
0.0,BENIGN
0.0,BENIGN
407.0,BENIGN
295.0,BENIGN
117.0,BENIGN
2339.0,BENIGN
194.0,BENIGN
435.0,BENIGN
442.0,BENIGN
446.0,BENIGN
6.0,BENIGN
0.0,BENIGN
6.0,BENIGN
201.0,BENIGN
567.0,BENIGN
517.0,BENIGN
447.0,BENIGN
6.0,BENIGN
192.0,BENIGN
46.0,BENIGN
741.0,BENIGN
329.0,BENIGN
300.0,BENIGN
46.0,BENIGN
390.0,BENIGN
1202.0,BENIGN
389.0,BENIGN
